Method,Name,# requests,# failures,Median response time,Average response time,Min response time,Max response time,Average Content Size,Requests/s
GET,/,5,0,41,55,30,120,679,0.14
GET,/assets/acm/i18n/en.json,5,0,220,207,32,342,9024,0.14
GET,/assets/acm/i18n/toyota/com/en-legal.json,5,0,51,65,45,93,66048,0.14
GET,/assets/acm/i18n/toyota/com/en-privacy.json,5,0,22,21,15,25,47419,0.14
GET,/assets/subscription/i18n/en.json,5,0,19,21,13,37,9457,0.14
GET,/fonts/ToyotaType-Bold.ttf,5,0,46,76,26,193,125936,0.14
GET,/fonts/ToyotaType-Book.ttf,5,0,37,41,18,81,123756,0.14
GET,/fonts/ToyotaType-Regular.ttf,5,0,21,27,18,52,124016,0.14
GET,/icon?family=Material+Icons,5,0,36,38,35,47,568,0.14
GET,/imgs/acm/logo.svg,5,0,23,34,18,76,4018,0.14
GET,/main.js,5,0,210,186,70,259,4477959,0.14
GET,/nfImg/notfound.png,5,0,34,37,18,52,114930,0.14
GET,/polyfills.js,5,0,24,30,23,52,226505,0.14
GET,/products/v1/packages,0,5,0,0,0,0,0,0
OPTIONS,/products/v1/packages,5,0,18,20,15,30,0,0.14
GET,/runtime.js,5,0,16,21,15,36,5220,0.14
GET,/s/materialicons/v41/flUhRq6tzZclQEJ-Vdg-IuiaDsNc.woff2,5,0,34,34,27,43,55208,0.14
GET,/styles.js,5,0,72,58,18,109,89874,0.14
OPTIONS,/subscription/v1/create,5,0,22,25,18,44,0,0.14
POST,/subscription/v1/create,5,0,1600,2405,1210,6257,963,0.14
GET,/v1/account,5,0,27,39,20,94,686,0.14
OPTIONS,/v1/account,5,0,28,25,15,31,0,0.14
GET,/v1/vehicle/1GTP1VD25BEGDSLY6,5,0,98,108,53,200,1748,0.14
OPTIONS,/v1/vehicle/1GTP1VD25BEGDSLY6,5,0,18,22,16,37,0,0.14
OPTIONS,/v1/vehicleAssociation,5,0,23,23,15,35,0,0.14
OPTIONS,/vehicle-association/v1/create,5,0,24,26,17,46,0,0.14
POST,/vehicle-association/v1/create,1,4,280,276,276,276,156,0.03
GET,/vendor.js,5,0,200,218,113,330,5389031,0.14
,,,,,4138,2189,8997,,
