"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/",1,0,72,72,72,72,679,0.03
"GET","/assets/acm/i18n/en.json",1,0,37,37,37,37,3616,0.03
"GET","/assets/acm/i18n/toyota/com/en-legal.json",1,0,34,34,34,34,66048,0.03
"GET","/assets/acm/i18n/toyota/com/en-privacy.json",1,0,46,46,46,46,47419,0.03
"GET","/assets/subscription/i18n/en.json",1,0,26,26,26,26,7022,0.03
"GET","/fonts/ToyotaType-Bold.ttf",1,0,250,250,250,250,125936,0.03
"GET","/fonts/ToyotaType-Book.ttf",1,0,36,36,36,36,123756,0.03
"GET","/fonts/ToyotaType-Regular.ttf",1,0,35,35,35,35,124016,0.03
"GET","/icon?family=Material+Icons",1,0,37,37,37,37,568,0.03
"GET","/imgs/acm/logo.svg",1,0,26,26,26,26,4018,0.03
"GET","/main.js",1,0,140,136,136,136,4546770,0.03
"GET","/nfImg/notfound.png",1,0,29,29,29,29,114930,0.03
"GET","/polyfills.js",1,0,53,53,53,53,474020,0.03
"GET","/products/v1/packages",1,0,12,12,12,12,1554,0.03
"OPTIONS","/products/v1/packages",1,0,22,22,22,22,0,0.03
"GET","/runtime.js",1,0,23,23,23,23,5220,0.03
"GET","/s/materialicons/v41/flUhRq6tzZclQEJ-Vdg-IuiaDsNc.woff2",1,0,38,38,38,38,55208,0.03
"GET","/styles.js",1,0,24,24,24,24,88767,0.03
"OPTIONS","/subscription/v1/create",1,0,33,33,33,33,0,0.03
"POST","/subscription/v1/create",1,0,2100,2131,2131,2131,963,0.03
"GET","/v1/account",1,0,80,80,80,80,821,0.03
"OPTIONS","/v1/account",2,0,32,33,32,33,0,0.06
"POST","/v1/account",1,0,1300,1298,1298,1298,838,0.03
"GET","/v1/vehicle/1GTP1VD25BEGDSLY6",1,0,76,76,76,76,1748,0.03
"OPTIONS","/v1/vehicle/1GTP1VD25BEGDSLY6",1,0,25,25,25,25,0,0.03
"GET","/v1/vehicleAssociation",1,0,11,11,11,11,481,0.03
"OPTIONS","/v1/vehicleAssociation",1,0,63,63,63,63,0,0.03
"OPTIONS","/vehicle-association/v1/create",1,0,22,22,22,22,0,0.03
"POST","/vehicle-association/v1/create",1,0,240,237,237,237,156,0.03
"GET","/vendor.js",1,0,190,191,191,191,5209235,0.03
"None","Total",31,0,36,167,11,2131,354960,0.90
